rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.35,20000,35,31.5,2e+06,-1,1,1,0.0757986,0.378009,0.648949,0
0.4,20000,40,36,2e+06,-1,1,1,0.120361,0.448416,0.599386,0
0.45,20000,45,40.5,2e+06,-1,1,1,0.17986,0.531785,0.549625,0
0.5,20000,50,45,2e+06,-1,1,1,0.254264,0.626109,0.500459,0
0.55,20000,55,49.5,2e+06,-1,1,1,0.34928,0.739541,0.451511,0
0.6,20000,60,54,2e+06,-1,1,1,0.480197,0.887948,0.399492,0
0.65,20000,65,58.5,2e+06,-1,1,1,0.651758,1.07511,0.349484,0
0.7,20000,70,63,2e+06,-1,1,1,0.875081,1.31169,0.300508,0
0.75,20000,75,67.5,2e+06,-1,1,1,1.20759,1.65541,0.249133,0
0.8,20000,80,72,2e+06,-1,1,1,1.70395,2.16565,0.199669,0
0.85,20000,85,76.5,2e+06,-1,1,1,2.52998,2.99985,0.149153,0
0.9,20000,90,81,2e+06,-1,1,1,4.18396,4.6598,0.100334,0
0.95,20000,95,85.5,2e+06,-1,1,1,9.24359,9.73678,0.0493515,0
