rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.35,210000,35,31.5,2e+06,-1,1,1,2915.56,2913.12,0.000162129,0
0.4,210000,40,36,2e+06,-1,1,1,2471.37,2468.9,0.0003134,0
0.45,210000,45,40.5,2e+06,-1,1,1,2191.75,2189.82,0.000217259,0
0.5,210000,50,45,2e+06,-1,1,1,2054.3,2052.62,0.00024407,0
0.55,220000,55,49.5,2e+06,-1,1,1,1801.89,1799.57,0.000297339,0
0.6,210000,60,54,2e+06,-1,1,1,1734.67,1732.5,0.000283323,0
0.65,220000,65,58.5,2e+06,-1,1,1,1569.47,1567.63,0.000428293,0
0.7,210000,70,63,2e+06,-1,1,1,1349.09,1347.4,0.000329018,0
0.75,210000,75,67.5,2e+06,-1,1,1,1194,1192.59,0.000515602,0
0.8,220000,80,72,2e+06,-1,1,1,1268.57,1267.28,0.000626311,0
0.85,220000,85,76.5,2e+06,-1,1,1,1097.25,1095.58,0.00055272,0
0.9,220000,90,81,2e+06,-1,1,1,1030.59,1028.82,0.000839694,0
