rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.4,20000,40,36,2e+06,100,1,1,0.532585,0.0282289,0.600164,0
0.5,20000,50,45,2e+06,100,1,1,0.750957,0.0753563,0.500919,0
0.6,20000,60,54,2e+06,100,1,1,1.05097,0.179635,0.399039,0
0.7,20000,70,63,2e+06,100,1,1,1.52325,0.424894,0.299875,0
0.8,20000,80,72,2e+06,100,1,1,2.39618,1.04463,0.199408,0
0.9,20000,90,81,2e+06,100,1,1,4.96567,3.30489,0.0999294,0
1,220000,100,90,2e+06,100,1,1,8.38285e+11,9.31688e+11,0.000790787,0.000443074
1.1,220000,110,99,2e+06,100,1,1,97.7554,95.8446,1.37705e-07,0.0913312
1.2,210000,120,108,2e+06,100,1,1,100.172,98.3386,4.40775e-08,0.166503
1.3,20000,130,117,2e+06,100,1,1,100.942,99.1754,0,0.230652
1.4,220000,140,126,2e+06,100,1,1,101.316,99.6019,1.08206e-07,0.285638
1.5,20000,150,135,2e+06,100,1,1,101.52,99.8536,0,0.332908
1.6,20000,160,144,2e+06,100,1,1,101.649,100.026,0,0.375463
1.7,20000,170,153,2e+06,100,1,1,101.734,100.146,0,0.411811
1.8,20000,180,162,2e+06,100,1,1,101.795,100.239,0,0.44447
1.9,210000,190,171,2e+06,100,1,1,101.84,100.314,2.78501e-08,0.473599
