rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.35,220000,35,31.5,1e+06,-1,1,2,2.39544e+12,2.66092e+12,0.349584,0
0.4,220000,40,36,1e+06,-1,1,2,2.09614e+12,2.32947e+12,0.358111,0
0.45,220000,45,40.5,1e+06,-1,1,2,1.86338e+12,0.0224446,0.35979,0
0.5,220000,50,45,1e+06,-1,1,2,1.67686e+12,0.175593,0.353568,0
0.55,220000,55,49.5,1e+06,-1,1,2,1.52411e+12,0.351221,0.341102,0
0.6,220000,60,54,1e+06,-1,1,2,1.39776e+12,0.551484,0.322361,0
0.65,210000,65,58.5,1e+06,-1,1,2,1.35147e+12,0.791215,0.298427,0
0.7,30000,70,63,1e+06,-1,1,2,0.097285,1.09882,0.269085,0
0.75,20000,75,67.5,1e+06,-1,1,2,0.478492,1.47898,0.235586,0
0.8,20000,80,72,1e+06,-1,1,2,1.04279,2.04162,0.196503,0
0.85,20000,85,76.5,1e+06,-1,1,2,1.94158,2.93751,0.152597,0
0.9,20000,90,81,1e+06,-1,1,2,3.57996,4.57655,0.107606,0
0.95,20000,95,85.5,1e+06,-1,1,2,8.76105,9.76389,0.0546012,0
