rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.35,210000,35,31.5,2e+06,-1,0.2,1,3.67409e+06,3.67202e+06,0,0
0.4,220000,40,36,2e+06,-1,0.2,1,4.39657e+06,4.3986e+06,3.78707e-07,0
0.45,210000,45,40.5,2e+06,-1,0.2,1,4.72215e+06,4.72068e+06,0,0
0.5,210000,50,45,2e+06,-1,0.2,1,5.2488e+06,5.24902e+06,0,0
0.55,210000,55,49.5,2e+06,-1,0.2,1,5.77354e+06,5.77236e+06,0,0
0.6,220000,60,54,2e+06,-1,0.2,1,6.60015e+06,6.60275e+06,8.42217e-08,0
0.65,220000,65,58.5,2e+06,-1,0.2,1,7.14621e+06,7.14566e+06,1.55435e-07,0
0.7,210000,70,63,2e+06,-1,0.2,1,7.35206e+06,7.35117e+06,0,0
0.75,210000,75,67.5,2e+06,-1,0.2,1,7.8716e+06,7.87093e+06,0,0
0.8,210000,80,72,2e+06,-1,0.2,1,8.40075e+06,8.39891e+06,2.64558e-07,0
0.85,200000,85,76.5,2e+06,-1,0.2,1,8.50145e+06,8.50372e+06,0,0
0.9,210000,90,81,2e+06,-1,0.2,1,9.44904e+06,9.44682e+06,5.87889e-08,0
0.95,210000,95,85.5,2e+06,-1,0.2,1,9.97348e+06,9.97237e+06,0,0
