rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.35,210000,35,31.5,2.00E+06,-1,1,1,3.68E+06,3.67E+06,4.54E-07,0
0.4,210000,40,36,2.00E+06,-1,1,1,4.20E+06,4.20E+06,3.97E-07,0
0.45,210000,45,40.5,2.00E+06,-1,1,1,4.73E+06,4.73E+06,5.88E-07,0
0.5,210000,50,45,2.00E+06,-1,1,1,5.25E+06,5.25E+06,0,0
0.55,210000,55,49.5,2.00E+06,-1,1,1,5.78E+06,5.77E+06,9.62E-08,0
0.6,200000,60,54,2.00E+06,-1,1,1,6.00E+06,6.00E+06,0,0
0.65,210000,65,58.5,2.00E+06,-1,1,1,6.82E+06,6.83E+06,1.63E-07,0
0.7,220000,70,63,2.00E+06,-1,1,1,7.70E+06,7.70E+06,2.16E-07,0
0.75,220000,75,67.5,2.00E+06,-1,1,1,8.25E+06,8.25E+06,1.35E-07,0
0.8,210000,80,72,2.00E+06,-1,1,1,8.40E+06,8.40E+06,1.32E-07,0
0.85,210000,85,76.5,2.00E+06,-1,1,1,8.93E+06,8.93E+06,3.11E-07,0
0.9,210000,90,81,2.00E+06,-1,1,1,9.45E+06,9.45E+06,0,0
0.95,210000,95,85.5,2.00E+06,-1,1,1,9.98E+06,9.98E+06,0,0
